SideEffectKey|SideEffectName|SideEffectDetailsList
InLove|爱欲高涨|如果欲望继续上涨，将会停止进食一段时间，以寻找可能的交往对象。
Elder|老眼昏花|一段时间内难以清晰视物。
ThrowUp|狂吐不止|已有饱腹程度降低20%。
Anger|豪情万丈|进食速度提高15%，如果过于愤怒，将会？？？
CoffeePlus|精神抖擞|充满了精力，加快进食速度。
Excited|精神委顿|昏迷一段时间，苏醒后进食速度降低20%。
ImSick|肠胃炎症|进食速度降低15%。(1层)停止进食一段时间,归来后进食速度降低30%。(2层)
Vegan|尿酸过高|一段时间内只有素食可以计数。
Toxic|毒性损伤|进食速度降低15%，饱腹速率小幅度提升。(2层)已有饱腹程度降低20%。（3层）
Continuing6|营养搭配|直接增加饱腹度
Pungent|腥臭难当|进食速度降低15%，即将诱发狂吐不止。
Bloating|饱胀信号|进食速度降低15%。
Burning|热辣刺激|进食速度减少，即将诱发狂吐不止。
Mood|心情|心情好会使得进食速度加快，心情不好那就吃得慢咯
Numb|电容击穿|计时器暂停一段时间，但进食速度减慢10%。
Pica|饮食障碍|摄入奇怪食物时大幅提高计数，反之……
Shining|光芒万丈|在特定条件下会触发奇妙的效果。
Carnivore|肉食动物|摄入肉食时心情提升。
OnePlusOne|再来一瓶|饮料双倍计数，且不消耗额外时间。
Urinary|小便失禁|所有饮料摄入不再获取分数。
